In terms of flight apps, App in the Air is right at the top of the class. The layout is well organized and in the order you would expect when taking a flight. It's comprehensive without being
complex. Highly recommended.;0.9983846;15/09/2020, 13:19:17
In terms of flight apps, App in the Air is right at the top of the class. The layout is well organized and in the order you would expect when taking a flight. It's comprehensive without being
complex. Highly recommended.;0.9983846;15/09/2020, 13:19:17
In terms of flight apps, App in the Air is right at the top of the class. The layout is well organized and in the order you would expect when taking a flight. It's comprehensive without being
complex. Highly recommended.;0.9983846;15/09/2020, 13:21:35
Attempting to add more than two flight segments overwrites the previous flight segment. This is a relatively new bug; the app didn't have this behavior several months ago with the old UI.;0.00
7983923;15/09/2020, 13:21:35
Dear Thomas, thank you for your feedback. I'm sorry to hear that you are faced with this situation. Could you clarify, please, what kind of message appears when synchronizing with the loyalty
program? You can send your answer to vlad@appintheair.mobi marked "from Thomas for Vlad". I will help you. Vlad.;0.23357847;15/09/2020, 13:21:35
In terms of flight apps, App in the Air is right at the top of the class. The layout is well organized and in the order you would expect when taking a flight. It's comprehensive without being
complex. Highly recommended.;0.9983846;15/09/2020, 13:22:17
Attempting to add more than two flight segments overwrites the previous flight segment. This is a relatively new bug; the app didn't have this behavior several months ago with the old UI.;0.00
7983923;15/09/2020, 13:22:17
Dear Thomas, thank you for your feedback. I'm sorry to hear that you are faced with this situation. Could you clarify, please, what kind of message appears when synchronizing with the loyalty
program? You can send your answer to vlad@appintheair.mobi marked "from Thomas for Vlad". I will help you. Vlad.;0.23357847;15/09/2020, 13:22:17
Hi Nigel. I'd like to inform you that you can use our app without connecting to any accounts and add your flights manually or forward them to "just@add.flights".The account connection is used
for the automated flight import and sync data across your devices. Let me know if you have any questions at jasmine@appintheair.mobi. Best regard,Jasmine;0.05107999;15/09/2020, 13:22:17
Hello Gursharn, thank you for your review! Did I get you right that you were having trouble connecting to the Internet while using our application? Please clarify what exactly happened? You ca
n send me your answer to vlad@appintheair.mobi marked "from GURSHARN for Vlad". I will help you with this situation. Vlad;0.21548831;15/09/2020, 13:22:46
In terms of flight apps, App in the Air is right at the top of the class. The layout is well organized and in the order you would expect when taking a flight. It's comprehensive without being
complex. Highly recommended.;0.9983846;15/09/2020, 13:22:46
Attempting to add more than two flight segments overwrites the previous flight segment. This is a relatively new bug; the app didn't have this behavior several months ago with the old UI.;0.00
7983923;15/09/2020, 13:22:46
Dear Thomas, thank you for your feedback. I'm sorry to hear that you are faced with this situation. Could you clarify, please, what kind of message appears when synchronizing with the loyalty
program? You can send your answer to vlad@appintheair.mobi marked "from Thomas for Vlad". I will help you. Vlad.;0.23357847;15/09/2020, 13:22:46
Hi Nigel. I'd like to inform you that you can use our app without connecting to any accounts and add your flights manually or forward them to "just@add.flights".The account connection is used
for the automated flight import and sync data across your devices. Let me know if you have any questions at jasmine@appintheair.mobi. Best regard,Jasmine;0.05107999;15/09/2020, 13:22:46
In terms of flight apps, App in the Air is right at the top of the class. The layout is well organized and in the order you would expect when taking a flight. It's comprehensive without being
complex. Highly recommended.;0.9983846;15/09/2020, 13:23:20
Attempting to add more than two flight segments overwrites the previous flight segment. This is a relatively new bug; the app didn't have this behavior several months ago with the old UI.;0.00
7983923;15/09/2020, 13:23:20
Dear Thomas, thank you for your feedback. I'm sorry to hear that you are faced with this situation. Could you clarify, please, what kind of message appears when synchronizing with the loyalty
program? You can send your answer to vlad@appintheair.mobi marked "from Thomas for Vlad". I will help you. Vlad.;0.23357847;15/09/2020, 13:23:20
Hi Nigel. I'd like to inform you that you can use our app without connecting to any accounts and add your flights manually or forward them to "just@add.flights".The account connection is used
for the automated flight import and sync data across your devices. Let me know if you have any questions at jasmine@appintheair.mobi. Best regard,Jasmine;0.05107999;15/09/2020, 13:23:20
It could've better if it has working internet connection and can fetch data from servers.;0.06226617;15/09/2020, 13:23:20
Opportunity to work in comfortable offices Perm, Amsterdam and USA;0.8549584;16/09/2020, 16:22:21
Freedom to experiment and think outside the box;0.39012864;16/09/2020, 16:22:21
;0.4102735;16/09/2020, 16:22:21
Being a part of a global team;0.621836;16/09/2020, 16:22:21
If all goes wrong, change a view piont;0.16244525;16/09/2020, 16:22:21
Working in a truly diverse team;0.9882198;16/09/2020, 16:22:21
